ano,mes,tipo_pagamento,demanda,demanda_int_metro,demanda_int_stec,demanda_int_brt
2024,janeiro,VALE-TRANSPORTE,6616634,3077066,192102,71173
2024,fevereiro,VALE-TRANSPORTE,6036209,2795122,172931,71056
2024,março,VALE-TRANSPORTE,6507373,3189873,186870,76684
2024,abril,VALE-TRANSPORTE,6648075,3407295,191672,82255
2024,maio,VALE-TRANSPORTE,6672768,3394621,192123,82918
2024,junho,VALE-TRANSPORTE,6087755,3105782,171017,73239
2024,julho,VALE-TRANSPORTE,7006992,3487962,191768,91557
2024,agosto,VALE-TRANSPORTE,7176217,3630674,201808,96340
2024,setembro,VALE-TRANSPORTE,6706623,3389685,189419,91793
2024,outubro,VALE-TRANSPORTE,7136392,3518283,199515,100637
2024,novembro,VALE-TRANSPORTE,6570099,3172272,182348,90412
2024,dezembro,VALE-TRANSPORTE,6615238,3199235,185005,87182
2024,janeiro,BILHETE AVULSO,5414629,3585220,174020,74693
2024,fevereiro,BILHETE AVULSO,5173955,3392303,155748,75450
2024,março,BILHETE AVULSO,5643203,3864025,175918,85069
2024,abril,BILHETE AVULSO,5784056,4158477,179707,91343
2024,maio,BILHETE AVULSO,5710597,4084465,175877,92056
2024,junho,BILHETE AVULSO,5197529,3675168,155519,82297
2024,julho,BILHETE AVULSO,5771766,4022682,167463,100807
2024,agosto,BILHETE AVULSO,5919976,4186601,174023,105100
2024,setembro,BILHETE AVULSO,5703098,3898903,169007,100257
2024,outubro,BILHETE AVULSO,5842609,4050556,178409,105655
2024,novembro,BILHETE AVULSO,5362639,3740567,159249,94823
2024,dezembro,BILHETE AVULSO,5484382,3737806,164394,94556
2024,janeiro,MEIA PASSAGEM,1055634,572138,28548,10080
2024,fevereiro,MEIA PASSAGEM,1195658,615972,30180,11639
2024,março,MEIA PASSAGEM,1746960,975798,39928,14740
2024,abril,MEIA PASSAGEM,1716025,983839,36504,14609
2024,maio,MEIA PASSAGEM,1545546,822643,36726,14306
2024,junho,MEIA PASSAGEM,1328696,702389,31136,12667
2024,julho,MEIA PASSAGEM,1737097,866291,35043,17747
2024,agosto,MEIA PASSAGEM,1974270,1039719,42419,20199
2024,setembro,MEIA PASSAGEM,1852261,946197,42588,20251
2024,outubro,MEIA PASSAGEM,1975483,1066824,44034,21053
2024,novembro,MEIA PASSAGEM,1775359,940430,39353,17772
2024,dezembro,MEIA PASSAGEM,1350858,766005,32713,15175
2024,janeiro,PAGAMENTO EM ESPÉCIE,2007450,,,
2024,fevereiro,PAGAMENTO EM ESPÉCIE,1875136,,,
2024,março,PAGAMENTO EM ESPÉCIE,1878438,,,
2024,abril,PAGAMENTO EM ESPÉCIE,1784517,,,
2024,maio,PAGAMENTO EM ESPÉCIE,1757339,,,
2024,junho,PAGAMENTO EM ESPÉCIE,1734998,,,
2024,julho,PAGAMENTO EM ESPÉCIE,1734330,,,
2024,agosto,PAGAMENTO EM ESPÉCIE,1738929,,,
2024,setembro,PAGAMENTO EM ESPÉCIE,1683857,,,
2024,outubro,PAGAMENTO EM ESPÉCIE,1719111,,,
2024,novembro,PAGAMENTO EM ESPÉCIE,1661158,,,
2024,dezembro,PAGAMENTO EM ESPÉCIE,1913995,,,
2024,janeiro,GRATUIDADE,3246741,,,
2024,fevereiro,GRATUIDADE,2909634,,,
2024,março,GRATUIDADE,3422414,,,
2024,abril,GRATUIDADE,3383801,,,
2024,maio,GRATUIDADE,3526163,,,
2024,junho,GRATUIDADE,3201283,,,
2024,julho,GRATUIDADE,3637889,,,
2024,agosto,GRATUIDADE,3675271,,,
2024,setembro,GRATUIDADE,3574698,,,
2024,outubro,GRATUIDADE,3706404,,,
2024,novembro,GRATUIDADE,3399409,,,
2024,dezembro,GRATUIDADE,3559575,,,
2023,janeiro,VALE-TRANSPORTE,6993981,2696794,204445,
2023,fevereiro,VALE-TRANSPORTE,6944495,2323122,183266,
2023,março,VALE-TRANSPORTE,7527144,2930153,215894,
2023,abril,VALE-TRANSPORTE,6511056,2509125,188698,
2023,maio,VALE-TRANSPORTE,7254790,2879900,201668,
2023,junho,VALE-TRANSPORTE,7677901,2659752,180729,
